hrg_code,hrg_description
AA02A,Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury with CC
AA02B,Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury without CC
AA03A,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC"
AA03B,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, without CC"
AA04A,"Major Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC"
AA04B,"Major Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident, Nervous System Infections or Encephalopathy, without CC"
AA05A,Major Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders with CC
AA05B,Major Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders without CC
AA06A,"Major Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts, with CC"
AA06B,"Major Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts, without CC"
AA07A,"Major Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC"
AA07B,"Major Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, without CC"
AA08A,"Major Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve Disorders or Epilepsy, with CC"
AA08B,"Major Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve Disorders or Epilepsy, without CC"
AA09A,Major Intracranial Procedures Except Trauma with Other Diagnoses with CC
AA09B,Major Intracranial Procedures Except Trauma with Other Diagnoses without CC
AA10A,"Intermediate Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC"
AA10B,"Intermediate Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident, Nervous System Infections or Encephalopathy, without CC"
AA11A,Intermediate Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders with CC
AA11B,Intermediate Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders without CC
AA12A,"Intermediate Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts, with CC"
AA12B,"Intermediate Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts, without CC"
AA13A,Intermediate Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC
AA13B,Intermediate Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System without CC
AA14A,"Intermediate Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve Disorders or Epilepsy, with CC"
AA14B,"Intermediate Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve Disorders or Epilepsy, without CC"
AA15A,Intermediate Intracranial Procedures Except Trauma with Other Diagnoses with CC
AA15B,Intermediate Intracranial Procedures Except Trauma with Other Diagnoses without CC
AA16A,"Minor Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC"
AA16B,"Minor Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident, Nervous System Infections or Encephalopathy, without CC"
AA17A,Minor Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders with CC
AA17B,Minor Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders without CC
AA18A,"Minor Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts, with CC"
AA18B,"Minor Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts, without CC"
