hrg_code,hrg_description
AA22C,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+"
AA22D,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13"
AA22E,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10"
AA22F,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7"
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4"
AA23C,Haemorrhagic Cerebrovascular Disorders with CC Score 14+
AA23D,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2
AA24C,"Brain Tumours or Cerebral Cysts, with CC Score 11+"
AA24D,"Brain Tumours or Cerebral Cysts, with CC Score 8-10"
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7"
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5"
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3"
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1"
AA25C,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+"
AA25D,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13"
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10"
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7"
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4"
AA26C,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+"
AA26D,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14"
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11"
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8"
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5"
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2"
AA28C,Motor Neuron Disease with CC Score 8+
AA28D,Motor Neuron Disease with CC Score 5-7
AA28E,Motor Neuron Disease with CC Score 2-4
AA28F,Motor Neuron Disease with CC Score 0-1
AA29C,Transient Ischaemic Attack with CC Score 11+
AA29D,Transient Ischaemic Attack with CC Score 8-10
AA29E,Transient Ischaemic Attack with CC Score 5-7
AA29F,Transient Ischaemic Attack with CC Score 0-4
AA30C,"Medical Care of Patients with Multiple Sclerosis, with CC Score 8+"
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7"
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4"
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1"
AA31C,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 11+"
AA31D,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10"
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6"
AA32Z,Neuropsychology Tests
AA33C,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over"
AA33D,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under"
AA35A,Stroke with CC Score 16+
AA35B,Stroke with CC Score 13-15
AA35C,Stroke with CC Score 10-12
AA35D,Stroke with CC Score 7-9
AA35E,Stroke with CC Score 4-6
AA35F,Stroke with CC Score 0-3
AA43A,"Sleep Disorders, excluding Sleep Apnoea, with CC Score 2+"
AA43B,"Sleep Disorders, excluding Sleep Apnoea, with CC Score 0-1"
AA50A,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 12+"
AA50B,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 6-11"
AA50C,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 0-5"
AA50D,"Very Complex Intracranial Procedures, 18 years and under, with CC Score 12+"
AA50E,"Very Complex Intracranial Procedures, 18 years and under, with CC Score 6-11"
AA50F,"Very Complex Intracranial Procedures, 18 years and under, with CC Score 0-5"
AA51A,"Complex Intracranial Procedures, 19 years and over, with CC Score 12+"
AA51B,"Complex Intracranial Procedures, 19 years and over, with CC Score 8-11"
AA51C,"Complex Intracranial Procedures, 19 years and over, with CC Score 4-7"
AA51D,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3"
AA51E,"Complex Intracranial Procedures, 18 years and under, with CC Score 8+"
AA51F,"Complex Intracranial Procedures, 18 years and under, with CC Score 4-7"
AA51G,"Complex Intracranial Procedures, 18 years and under, with CC Score 0-3"
AA52A,"Very Major Intracranial Procedures, 19 years and over, with CC Score 12+"
AA52B,"Very Major Intracranial Procedures, 19 years and over, with CC Score 8-11"
AA52C,"Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7"
AA52D,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3"
AA52E,"Very Major Intracranial Procedures, 18 years and under, with CC Score 8+"
AA52F,"Very Major Intracranial Procedures, 18 years and under, with CC Score 4-7"
AA52G,"Very Major Intracranial Procedures, 18 years and under, with CC Score 0-3"
AA53A,"Major Intracranial Procedures, 19 years and over, with CC Score 12+"
AA53B,"Major Intracranial Procedures, 19 years and over, with CC Score 8-11"
AA53C,"Major Intracranial Procedures, 19 years and over, with CC Score 4-7"
AA53D,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3"
AA53E,"Major Intracranial Procedures, 18 years and under, with CC Score 8+"
AA53F,"Major Intracranial Procedures, 18 years and under, with CC Score 4-7"
AA53G,"Major Intracranial Procedures, 18 years and under, with CC Score 0-3"
AA54A,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 4+"
AA54B,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 2-3"
AA54C,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 0-1"
AA55A,"Minor Intracranial Procedures, 19 years and over, with CC Score 4+"
AA55B,"Minor Intracranial Procedures, 19 years and over, with CC Score 2-3"
AA55C,"Minor Intracranial Procedures, 19 years and over, with CC Score 0-1"
AA56A,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 4+"
AA56B,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 0-3"
AA57A,"Minimal Intracranial Procedures, 19 years and over"
AA57B,"Minimal Intracranial Procedures, 18 years and under"
AA60A,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 19 years and over"
AA60B,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 18 years and under"
AA61A,"Insertion of Intrathecal Drug Delivery Device for Treatment of Neurological Conditions, 19 years and over"
AA61B,"Insertion of Intrathecal Drug Delivery Device for Treatment of Neurological Conditions, 18 years and under"
AA70Z,Stereotactic Intracranial Radiosurgery for Arteriovenous Malformations
AA71A,"Stereotactic Intracranial Radiosurgery, for Neoplasms or Other Neurological Conditions, with CC Score 4+"
AA71B,"Stereotactic Intracranial Radiosurgery, for Neoplasms or Other Neurological Conditions, with CC Score 0-3"
AA80Z,Complex Long-Term EEG Monitoring
AA81Z,Standard Long-Term EEG Monitoring
AA82Z,"Intracranial Telemetry, with Cortical Mapping or Resection of Brain"
AA83Z,Intracranial Telemetry
AB11Z,Cognitive Behavioural Therapy as part of a Pain Management Programme
AB12Z,Insertion of Neurostimulator for Pain Management
AB13Z,Insertion of Intrathecal Drug Delivery Device for Pain Management
AB14Z,Insertion of Neurostimulator Electrodes for Pain Management
AB15Z,"Radiofrequency Ablation or Cryoablation, for Pain Management"
AB16Z,"Denervation or Injection around Spinal Facet, for Pain Management"
AB18Z,Continuous Infusion of Therapeutic Substance for Pain Management
AB20Z,Epidural Under Image Control for Pain Management
AB21Z,"Epidural or Therapeutic Spinal Puncture, for Pain Management"
AB22Z,Trigger Point Injection for Pain Management
AB23Z,Acupuncture for Pain Management
AB24Z,Alteration of Function of Nerve for Pain Management
AB25Z,"Nerve Block or Destruction of Nerve, Under Image Control, for Pain Management"
AB26Z,"Nerve Block or Destruction of Nerve, for Pain Management"
AB27Z,Injection of Therapeutic Substance into Joint Under Image Control for Pain Management
AB28Z,Injection of Therapeutic Substance into Joint for Pain Management
BZ24D,Non-Surgical Ophthalmology with Interventions
BZ24E,"Non-Surgical Ophthalmology without Interventions, with CC Score 5+"
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4"
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1"
BZ30A,"Complex, Cataract or Lens Procedures, with CC Score 2+"
BZ30B,"Complex, Cataract or Lens Procedures, with CC Score 0-1"
BZ31A,"Very Major, Cataract or Lens Procedures, with CC Score 2+"
BZ31B,"Very Major, Cataract or Lens Procedures, with CC Score 0-1"
BZ32A,"Intermediate, Cataract or Lens Procedures, with CC Score 2+"
BZ32B,"Intermediate, Cataract or Lens Procedures, with CC Score 0-1"
BZ33Z,"Minor, Cataract or Lens Procedures"
BZ34A,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 4+"
BZ34B,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-3"
BZ34C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1"
BZ40Z,Very Complex Oculoplastics Procedures
BZ41A,"Complex Oculoplastics Procedures, 19 years and over, with CC Score 2+"
BZ41B,"Complex Oculoplastics Procedures, 19 years and over, with CC Score 0-1"
BZ42A,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 2+"
BZ42B,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1"
BZ43Z,"Complex or Very Major, Oculoplastics Procedures, 18 years and under"
BZ44A,"Major Oculoplastics Procedures, 19 years and over, with CC Score 2+"
BZ44B,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1"
BZ44C,"Major Oculoplastics Procedures, 18 years and under"
BZ45A,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+"
BZ45B,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1"
BZ45C,"Intermediate Oculoplastics Procedures, between 4 and 18 years"
BZ45D,"Intermediate Oculoplastics Procedures, 3 years and under"
BZ46A,"Minor Oculoplastics Procedures, 19 years and over"
BZ46B,"Minor Oculoplastics Procedures, 18 years and under"
BZ50Z,"Very Complex, Orbit or Lacrimal Procedures, 19 years and over"
BZ51A,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+"
BZ51B,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0"
BZ52Z,"Very Complex or Complex, Orbit or Lacrimal Procedures, 18 years and under"
BZ53A,"Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+"
BZ53B,"Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0"
BZ54A,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+"
BZ54B,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0"
BZ55Z,"Very Major or Major, Orbit or Lacrimal Procedures, 18 years and under"
BZ56A,"Intermediate, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+"
BZ56B,"Intermediate, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0"
BZ56C,"Intermediate, Orbit or Lacrimal Procedures, 18 years and under"
BZ57A,"Minor, Orbit or Lacrimal Procedures, 19 years and over"
BZ57B,"Minor, Orbit or Lacrimal Procedures, 18 years and under"
BZ60A,"Very Complex, Cornea or Sclera Procedures, with CC Score 2+"
BZ60B,"Very Complex, Cornea or Sclera Procedures, with CC Score 0-1"
BZ61A,"Complex, Cornea or Sclera Procedures, with CC Score 2+"
BZ61B,"Complex, Cornea or Sclera Procedures, with CC Score 0-1"
BZ62A,"Very Major, Cornea or Sclera Procedures, with CC Score 1+"
BZ62B,"Very Major, Cornea or Sclera Procedures, with CC Score 0"
BZ63A,"Major, Cornea or Sclera Procedures, with CC Score 1+"
BZ63B,"Major, Cornea or Sclera Procedures, with CC Score 0"
BZ64A,"Intermediate, Cornea or Sclera Procedures, with CC Score 1+"
BZ64B,"Intermediate, Cornea or Sclera Procedures, with CC Score 0"
BZ65Z,"Minor, Cornea or Sclera Procedures"
BZ70Z,Complex Ocular Motility Procedures
