hrg_root,hrg_root_description
AA02,Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury
AA03,Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture
AA04,"Major Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident, Nervous System Infections or Encephalopathy"
AA05,Major Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders
AA06,Major Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts
AA07,Major Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System
AA08,"Major Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve Disorders or Epilepsy"
AA09,Major Intracranial Procedures Except Trauma with Other Diagnoses
AA10,"Intermediate Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident, Nervous System Infections or Encephalopathy"
AA11,Intermediate Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders
AA12,Intermediate Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts
AA13,Intermediate Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System
AA14,"Intermediate Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve Disorders or Epilepsy"
AA15,Intermediate Intracranial Procedures Except Trauma with Other Diagnoses
AA16,"Minor Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident, Nervous System Infections or Encephalopathy"
AA17,Minor Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders
AA18,Minor Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts
AA19,Minor Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System
AA20,"Minor Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve Disorders or Epilepsy"
AA21,Minor Intracranial Procedures Except Trauma with Other Diagnoses
AA22,"Non-Transient Stroke or Cerebrovascular Accident, Nervous System Infections or Encephalopathy"
AA23,Haemorrhagic Cerebrovascular Disorders
AA24,Brain Tumours or Cerebral Cysts
AA25,Cerebral Degenerations or Miscellaneous Disorders of Nervous System
AA26,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury"
AA27,Medical Care of Patients with Alzheimer's Disease
AA28,Motor Neuron Disease
AA29,Transient Ischaemic Attack
AA30,Medical Care of Patients with Multiple Sclerosis
AA31,"Headache, Migraine or Cerebrospinal Fluid Leak"
AA32,Neuropsychology Tests with length of stay 2 days or less
AA33,"Conventional EEG, EMG or Nerve Conduction Studies with length of stay 2 days or less"
AA34,Other Neurophysiological Operations
AB02,Complex Major Pain Procedures
AB03,Complex Pain Procedures
AB04,Major Pain Procedures
AB05,Intermediate Pain Procedures
AB06,Minor Pain Procedures
AB07,Insertion of Neurostimulator or Intrathecal Drug Delivery Device
AB08,Pain Radiofrequency Treatments
AB09,Other Specified Pain Procedures
AB10,Unspecified Pain Procedures
AB11,Cognitive Behavioural Therapy
BZ01,Enhanced Cataract Surgery
BZ02,Phacoemulsification Cataract Extraction and Lens Implant
BZ03,Non-Phacoemulsification Cataract Surgery
BZ04,Lens Capsulotomy
BZ05,Major Oculoplastics Procedures
BZ06,Intermediate Oculoplastics Procedures
BZ07,Minor Oculoplastics Procedures
BZ08,Major Orbits or Lacrimal Procedures
BZ09,Intermediate Orbits or Lacrimal Procedures
BZ10,Minor Orbits or Lacrimal Procedures
BZ11,Major Cornea or Sclera Procedures
BZ12,Intermediate Cornea or Sclera Procedures
BZ13,Minor Cornea or Sclera Procedures
BZ14,Major Ocular Motility Procedures
BZ15,Intermediate Ocular Motility Procedures
BZ16,Minor Ocular Motility Procedures
BZ17,Major Glaucoma Procedures
BZ18,Intermediate Glaucoma Procedures
BZ19,Minor Glaucoma Procedures
BZ20,Complex Vitreous Retinal Procedures
BZ21,Major Vitreous Retinal Procedures
BZ22,Intermediate Vitreous Retinal Procedures
BZ23,Minor Vitreous Retinal Procedures
BZ24,Non-Surgical Ophthalmology
CZ01,Minor Mouth or Throat Procedures
CZ02,Intermediate Mouth or Throat Procedures
CZ03,Major Mouth or Throat Procedures
CZ04,Complex Major Mouth or Throat Procedures
CZ05,Tonsillectomy
CZ07,Exteriorisation of Trachea
CZ08,Minor Ear Procedures
CZ09,Intermediate Ear Procedures
CZ10,Major Ear Procedures
CZ11,Complex Major Ear Procedures
CZ12,Minor Nose Procedures
CZ13,Intermediate Nose Procedures
CZ14,Major Nose Procedures
CZ15,Complex Major Nose Procedures
CZ16,Minor Maxillo-facial Procedures
CZ17,Intermediate Maxillo-facial Procedures
CZ18,Major Maxillo-facial Procedures
CZ19,Complex Major Maxillo-facial Procedures
CZ20,Complex Major Head or Neck Procedures with Reconstruction
CZ21,"Minor Head, Neck and Ear Disorders"
CZ22,"Intermediate Head, Neck and Ear Disorders"
CZ23,"Major Head, Neck and Ear Disorders"
CZ24,"Complex Major Head, Neck and Ear Disorders"
CZ25,Cochlear Implants
CZ27,Fixture for Bone Anchored Hearing Aids
CZ28,Fitting of Bone Anchored Hearing Aids
CZ30,Minor Extraction of Tooth
CZ31,Minor Dental Biopsy
CZ32,Dental Fitting or Insertion Procedures
CZ33,Minor Dental Restoration Procedures
CZ34,Minor Dental Procedures
CZ35,Adjustment of Dental Device
CZ36,Dental Excision or Biopsy Procedures
CZ37,Surgical Removal of Tooth
CZ38,Creation of Dental Impression
CZ39,Intermediate Dental Procedures
CZ40,Major Surgical Removal of Tooth
CZ41,Major Dental Procedures
CZ42,Extraction of Multiple Teeth
DZ01,Lung Transplant
DZ02,Complex Thoracic Procedures
DZ03,Major Thoracic Procedures
DZ04,Intermediate Thoracic Procedures
DZ06,Minor Thoracic Procedures
DZ07,Fibre Optic Bronchoscopy
DZ08,Rigid Bronchoscopy
DZ09,Pulmonary Embolus
DZ10,Lung Abscess-Empyema
DZ11,"Lobar, Atypical or Viral Pneumonia"
DZ12,Bronchiectasis
DZ13,Cystic Fibrosis
DZ14,"Pulmonary, Pleural or Other Tuberculosis"
DZ15,Asthma
DZ16,Pleural Effusion
DZ17,Respiratory Neoplasms
DZ18,Sleeping Disorders Affecting Breathing
DZ19,Other Respiratory Diagnoses
DZ20,Pulmonary Oedema
DZ21,Chronic Obstructive Pulmonary Disease or Bronchitis
DZ22,Unspecified Acute Lower Respiratory Infection
DZ23,Bronchopneumonia
DZ24,Inhalation Lung Injury or Foreign Body
DZ25,Fibrosis or Pneumoconiosis
DZ26,Pneumothorax or Intrathoracic Injuries
DZ27,Respiratory Failure
DZ28,Pleurisy
DZ29,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease"
DZ30,Chest Physiotherapy
DZ31,Complex Lung Function Exercise Testing
DZ32,Simple Lung Function Exercise Testing
DZ33,Hyperbaric Oxygen Treatment
DZ34,Complex Bronchodilator Studies
DZ35,Simple Bronchodilator Studies
DZ36,Bronchial Reactivity Studies
DZ37,Non-Invasive Ventilation Support Assessment
DZ38,Oxygen Assessment and Monitoring
DZ39,Complex Gas Exchange Studies
DZ40,Simple Gas Exchange Studies
DZ41,Smoking Cessation Support
DZ42,TB Nurse Support
DZ43,Complex Airflow Studies
DZ44,Simple Airflow Studies
DZ45,Lung Volume Studies
DZ46,Respiratory Muscle Strength Studies
DZ48,Respiratory Drive Studies
DZ49,Respiratory Nurse and AHP Education or Support
DZ50,Respiratory Sleep Study
DZ51,Complex Tuberculosis
DZ52,Full Pulmonary Function Testing
DZ54,Complex Bronchoscopy
EA01,Heart and Lung Transplant
EA02,Heart Transplant
EA03,Pace 1: Single Chamber or Implantable Diagnostic Device
EA05,Pace 2: Dual Chamber
EA07,Pace 3: Biventricular and all Congenital Pacemaker Procedures; Resynchronisation Therapy
EA09,"Percutaneous Interventions: Percutaneous Transluminal ASD, VSD or PFO Closure and Valve Insertion"
EA10,Percutaneous Interventions: Balloon Valve Intermediate Interventions and Arterial Duct Closure
EA11,"Percutaneous Interventions: Other including Septostomy, Embolisations, Non-Coronary Stents and Energy Moderated Perforation"
EA12,Implantation of Cardioverter; Defibrillator only
EA14,Coronary Artery Bypass Graft (First Time)
EA16,"Coronary Artery Bypass Graft (First Time) with Percutaneous Coronary Intervention, Pacing, EP or RFA"
EA17,Single Cardiac Valve Procedures
EA19,"Single Cardiac Valve Procedures with Percutaneous Coronary Intervention, Pacing, EP or RFA"
EA20,Other Complex Cardiac Surgery and Re-do's
EA22,"Other Complex Cardiac Surgery with Percutaneous Coronary Intervention, Pacing, EP or RFA"
EA23,Major Complex Congenital Surgery
EA24,Complex Congenital Surgery
EA25,Intermediate Congenital Surgery
EA26,Standard Congenital Surgery
EA29,"Percutaneous Complex Ablation, including for Atrial Fibrillation or Ventricular Tachycardia"
EA31,"Percutaneous Coronary Intervention, 0 to 2 Stents"
EA35,Other Percutaneous Interventions
EA36,Catheter
EA39,"Pacemaker Procedure without Generator Implant, including Re-siting and Removal of Cardiac Pacemaker System"
EA40,Other Non-Complex Cardiac Surgery
EA43,Implantation of Prosthetic Heart or Ventricular Assist Device
EA44,Minor Cardiac Procedures
EA45,"Complex Echocardiogram, including Congenital, Transoesophageal and Fetal Echocardiography"
EA47,Electrocardiogram Monitoring and Stress Testing
EA48,"Single or Dual Chamber, Pacemaker or Implantable Diagnostic Device, with Percutaneous Coronary Intervention, EP or RFA"
EA49,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire"
EA51,"Coronary Artery Bypass Graft, with Valve Replacement or Repair"
EA52,Repair or Replacement of more than one Heart Valve
EA53,Transcatheter Aortic Valve Implantation (TAVI)
EA54,Percutaneous Standard Ablation
EA55,Percutaneous Diagnostic Electrophysiology Studies
EA56,Implantation of Cardiac Resynchronization Therapy Defibrillator (CRT-D)
EB01,Non-Interventional Acquired Cardiac Conditions
EB02,Endocarditis
EB03,Heart Failure or Shock
EB04,Hypertension
EB05,Cardiac Arrest
EB06,Cardiac Valve Disorders
EB07,Arrhythmia or Conduction Disorders
EB08,Syncope or Collapse
EB09,Non-Interventional Congenital Cardiac Conditions
EB10,Actual or Suspected Myocardial Infarction
FZ12,Major General Abdominal Procedures
FZ13,Minor Therapeutic or Diagnostic General Abdominal Procedures
FZ17,Abdominal Hernia Procedures
FZ18,"Inguinal, Umbilical or Femoral Hernia Procedures"
FZ19,Herniotomy Procedures
FZ20,Appendicectomy Procedures
FZ21,Major Anal Procedures
FZ22,Intermediate Anal Procedures
FZ23,Minor Anal Procedures
FZ24,Major Therapeutic Endoscopic Upper or Lower GI Tract Procedures
FZ27,Intermediate Therapeutic General Abdominal Procedures
FZ31,Disorders of the Oesophagus
FZ33,"Small Intestinal Disorders, excluding Inflammatory Bowel Disease"
FZ36,Intestinal Infectious Disorders
FZ37,Inflammatory Bowel Disease
FZ38,Gastrointestinal Bleed
FZ39,Hernia Disorders
FZ40,Appendix Disorders
FZ41,Anal Disorders
FZ42,Wireless Capsule Endoscopy
FZ43,Non-Malignant Stomach or Duodenum Disorders
FZ44,Malignant Stomach or Duodenum Disorders
FZ45,Non-Malignant Large Intestinal Disorders
FZ46,Malignant Large Intestinal Disorders
FZ47,Non-Malignant General Abdominal Disorders
FZ48,Malignant General Abdominal Disorders
FZ49,Nutritional Disorders
FZ50,"Intermediate Large Intestine Procedures, 19 years and over"
FZ51,"Diagnostic Colonoscopy, 19 years and over"
FZ52,"Diagnostic Colonoscopy with Biopsy, 19 years and over"
FZ53,"Therapeutic Colonoscopy, 19 years and over"
FZ54,"Diagnostic Flexible Sigmoidoscopy, 19 years and over"
FZ55,"Diagnostic Flexible Sigmoidoscopy with Biopsy, 19 years and over"
FZ56,"Therapeutic Flexible Sigmoidoscopy, 19 years and over"
FZ57,"Diagnostic or Therapeutic, Rigid Sigmoidoscopy, 19 years and over"
FZ58,"Endoscopic or Intermediate, Lower GI Tract Procedures 18 years and under"
FZ59,"Intermediate Upper GI Tract Procedures, 19 years and over"
FZ60,"Diagnostic Endoscopic Upper GI Tract Procedures, 19 years and over"
FZ61,"Diagnostic Endoscopic Upper GI Tract Procedures with Biopsy, 19 years and over"
FZ62,"Endoscopic or Intermediate, Upper GI Tract Procedures, 18 years and under"
FZ63,Combined Upper and Lower GI Tract Diagnostic Endoscopic Procedures
FZ64,Combined Upper and Lower GI Tract Diagnostic Endoscopic Procedures with Biopsy
FZ65,Combined Upper and Lower GI Tract Therapeutic Endoscopic Procedures
FZ66,"Very Major Small Intestine Procedures, 19 years and over"
FZ67,"Major Small Intestine Procedures, 19 years and over"
FZ68,"Very Major or Major Small Intestine Procedures, 18 years and under"
FZ69,Complex Small Intestine Procedures
FZ70,"Therapeutic Endoscopic Upper GI Tract Procedures, 19 years and over"
FZ71,Endoscopic Insertion of Luminal Stent into GI Tract
FZ72,Insertion of Spinal Cord Stimulator for Treatment of Faecal Incontinence
FZ73,Very Complex Large Intestine Procedures
FZ74,"Complex Large Intestine Procedures, 19 years and over"
FZ75,"Proximal Colon Procedures, 19 years and over"
FZ76,"Distal Colon Procedures, 19 years and over"
FZ77,"Major Large Intestine Procedures, 19 years and over"
FZ78,"Complex or Major Large Intestine Procedures, 18 years and under"
FZ79,Complex General Abdominal Procedures
FZ80,"Very Complex Oesophageal, Stomach or Duodenum Procedures, 19 years and over"
FZ81,"Complex Oesophageal, Stomach or Duodenum Procedures, 19 years and over"
FZ82,"Very Complex or Complex Oesophageal, Stomach or Duodenum Procedures, 18 years and under"
FZ83,"Major Oesophageal, Stomach or Duodenum Procedures"
FZ84,Stomach Bypass Procedures for Obesity
FZ85,Restrictive Stomach Procedures for Obesity
FZ86,Endoscopic Insertion of Gastric Balloon for Obesity
FZ87,Complex Hernia Procedures
FZ88,Insertion of Gastrostomy Tube
FZ89,Complex Therapeutic Endoscopic Upper or Lower Gastrointestinal Tract Procedures
GA01,Hepatobiliary Transplant
GA03,Very Complex Open Hepatobiliary or Pancreatic Procedures
GA04,Complex Open Hepatobiliary or Pancreatic Procedures
GA05,Very Major Open Hepatobiliary or Pancreatic Procedures
GA06,Major Open Hepatobiliary or Pancreatic Procedures
GA07,Intermediate Open Hepatobiliary or Pancreatic Procedures
GA10,Cholecystectomy
GA11,Pancreatic Necrosectomy
GA12,Multi-Organ and Multiple Transplants
GA13,"Minor Open or Laparoscopic, Hepatobiliary or Pancreatic Procedures"
GB01,"Very Major Endoscopic or Percutaneous, Hepatobiliary or Pancreatic Procedures"
GB02,"Major Endoscopic or Percutaneous, Hepatobiliary or Pancreatic Procedures"
GB03,"Intermediate Endoscopic or Percutaneous, Hepatobiliary or Pancreatic Procedures"
GB04,"Minor Endoscopic or Percutaneous, Hepatobiliary or Pancreatic Procedures"
GB05,Major Therapeutic Endoscopic Retrograde Cholangiopancreatography
GB06,Intermediate Therapeutic Endoscopic Retrograde Cholangiopancreatography
GB07,Minor Diagnostic Endoscopic Retrograde Cholangiopancreatography
GB08,"Complex Endoscopic or Percutaneous, Hepatobiliary or Pancreatic Procedures"
GB09,Complex Therapeutic Endoscopic Retrograde Cholangiopancreatography
GC01,Liver Failure Disorders
GC12,Malignant Liver or Pancreatic Disorders
GC15,Non-Malignant Liver Disorders
GC16,Non-Malignant Pancreatic or Biliary Disorders
HA11,"Major Hip Procedures for Trauma, Category 2"
HA12,"Major Hip Procedures for Trauma, Category 1"
HA13,Intermediate Hip Procedures for Trauma
