hrg_root,hrg_root_description
AA01,Intracranial Procedures for Trauma with Major Diagnosis
AA02,Intracranial Procedures for Trauma with Intermediate Diagnosis
AA03,Intracranial Procedures for Trauma with Minor Diagnosis
AA04,"Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident, Nervous system infections or Encephalopathy-category 4"
AA05,Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders - category 4
AA06,Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts - category 4
AA07,Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System - category 4
AA08,"Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve disorders, Epilepsy or Head Injury - category 4"
AA09,Intracranial Procedures Except Trauma with Other Diagnoses - category 4
AA10,"Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident, Nervous system infections or Encephalopathy - category 3"
AA11,Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders - category 3
AA12,Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts - category 3
AA13,Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System -category 3
AA14,"Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve disorders; Epilepsy; Head Injury - category 3"
AA15,Intracranial Procedures Except Trauma with Other Diagnoses - category 3
AA16,"Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident, Nervous system infections or Encephalopathy -category 1 or 2"
AA17,Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders - category 1 or 2
AA18,Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts - category 1 or 2
AA19,Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System - category 1 or 2
AA20,"Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve disorders; Epilepsy; Head Injury - category 1 or 2"
AA21,Intracranial Procedures Except Trauma with Other Diagnoses - category 1 or 2
AA22,"Non-Transient Stroke or Cerebrovascular Accident, Nervous system infections or Encephalopathy"
AA23,Haemorrhagic Cerebrovascular Disorders
AA24,Brain Tumours or Cerebral Cysts
AA25,Cerebral Degenerations or Miscellaneous Disorders of Nervous System
AA26,"Muscular, Balance, Cranial or Peripheral Nerve disorders; Epilepsy; Head Injury"
AA27,Medical Care of Patients with Alzheimers Disease
AA28,Motor Neuron Disease
AA29,Transient Ischaemic Attack
AA30,Medical Care of Patients with Multiple Sclerosis
AA31,Headache or Migraine
AB01,Complex Neurosurgical Pain Procedures
AB02,Complex Major Pain Procedures
AB03,Complex Pain Procedures
AB04,Major Pain Procedures
AB05,Intermediate Pain Procedures
AB06,Minor Pain Procedures
BZ01,Enhanced Cataract Surgery
BZ02,Phacoemulsification Cataract Extraction and Lens Implant
BZ03,Non-Phacoemulsification Cataract Surgery
BZ04,Lens Capsulotomy
BZ05,Oculoplastics category 3
BZ06,Oculoplastics category 2
BZ07,Oculoplastics category 1
BZ08,Orbits / lacrimal category 3
BZ09,Orbits / lacrimal category 2
BZ10,Orbits / lacrimal category 1
BZ11,Cornea / Sclera - category 3
BZ12,Cornea / Sclera - category 2
BZ13,Cornea / Sclera - category 1
BZ14,Ocular Motility category 3
BZ15,Ocular Motility category 2
BZ16,Ocular Motility category 1
BZ17,Glaucoma - category 3
