hrg_root,hrg_root_description
AA22,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy"
AA23,Haemorrhagic Cerebrovascular Disorders
AA24,Brain Tumours or Cerebral Cysts
AA25,Cerebral Degenerations or Miscellaneous Disorders of Nervous System
AA26,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury"
AA27,Medical Care of Patients with Alzheimer's Disease
AA28,Motor Neuron Disease
AA29,Transient Ischaemic Attack
AA30,Medical Care of Patients with Multiple Sclerosis
AA31,"Headache, Migraine or Cerebrospinal Fluid Leak"
AA32,Neuropsychology Tests
AA33,"Conventional EEG, EMG or Nerve Conduction Studies"
AA35,Stroke
AA50,Very Complex Intracranial Procedures
AA51,Complex Intracranial Procedures
AA52,Very Major Intracranial Procedures
AA53,Major Intracranial Procedures
AA54,"Intermediate Intracranial Procedures, 19 years and over"
AA55,"Minor Intracranial Procedures, 19 years and over"
AA56,"Minor or Intermediate, Intracranial Procedures, 18 years and under"
AA57,Minimal Intracranial Procedures
AA60,Insertion of Neurostimulator for Treatment of Neurological Conditions
AA61,Insertion of Intrathecal Drug Delivery Device for Treatment of Neurological Conditions
AA70,Stereotactic Intracranial Radiosurgery for Arteriovenous Malformations
AA71,"Stereotactic Intracranial Radiosurgery, for Neoplasms or Other Neurological Conditions"
AA80,Complex Long-Term EEG Monitoring
AA81,Standard Long-Term EEG Monitoring
AB11,Cognitive Behavioural Therapy as part of a Pain Management Programme
AB12,Insertion of Neurostimulator for Pain Management
AB13,Insertion of Intrathecal Drug Delivery Device for Pain Management
AB14,Insertion of Neurostimulator Electrodes for Pain Management
AB15,"Radiofrequency Ablation or Cryoablation, for Pain Management"
AB16,"Denervation or Injection around Spinal Facet, for Pain Management"
AB17,"Nerve Block or Destruction of Nerve, for Pain Management"
AB18,Continuous Infusion of Therapeutic Substance for Pain Management
AB19,Injection of Therapeutic Substance into Joint for Pain Management
AB20,Epidural Under Image Control for Pain Management
AB21,"Epidural or Therapeutic Spinal Puncture, for Pain Management"
AB22,Trigger Point Injection for Pain Management
AB23,Acupuncture for Pain Management
BZ24,Non-Surgical Ophthalmology
BZ30,"Complex, Cataract or Lens Procedures"
BZ31,"Very Major, Cataract or Lens Procedures"
BZ32,"Intermediate, Cataract or Lens Procedures"
BZ33,"Minor, Cataract or Lens Procedures"
BZ34,Phacoemulsification Cataract Extraction and Lens Implant
BZ40,Very Complex Oculoplastics Procedures
BZ41,"Complex Oculoplastics Procedures, 19 years and over"
BZ42,"Very Major Oculoplastics Procedures, 19 years and over"
BZ43,"Complex or Very Major, Oculoplastics Procedures, 18 years and under"
BZ44,Major Oculoplastics Procedures
BZ45,Intermediate Oculoplastics Procedures
BZ46,Minor Oculoplastics Procedures
BZ50,"Very Complex, Orbit or Lacrimal Procedures, 19 years and over"
BZ51,"Complex, Orbit or Lacrimal Procedures, 19 years and over"
